status	title	photo	estValue	compDate	soldPrice	soldDate	sku	notes
collection	2026 Topps Chrome WWE Brooks Jensen #104 Purple Refractor 57/75 NXT	assets/cards/Brooks-Jensen_104_front.jpg	0.99	2026-04-25				Purple Mini-Diamond Refractor, 57 of 75. The only recorded sale of this parallel.
collection	2026 Topps Cosmic Chrome WWE Channing Stacks Lorenzo #94 Purple 083/150 NXT	assets/cards/Channing-Lorenzo_94-150_front.jpg	2.95	2026-08-17				Purple, numbered 083 of 150.
collection	2026 Topps Cosmic Chrome WWE Channing Stacks Lorenzo #94 Magenta Cosmos Refractor 180/299 NXT	assets/cards/Channing-Lorenzo_94-299_front.jpg	0.99	2026-07-28				Magenta Cosmos, numbered 180 of 299.
collection	2026 Topps Chrome Marvel Rocket Raccoon #098 Purple Lightning Refractor 08/75	assets/cards/Rocket-Raccoon_098_front.jpg	12.00	2026-08-17				Purple Lightning Refractor of Rocket Raccoon, numbered 8 of 75.
collection	2026 Topps Chrome Marvel Mister Sinister #080 X-Men	assets/cards/Mister-Sinister_080_front.jpg	1.78	2026-08-17				Base card of Mister Sinister, from the X-Men subset.
collection	2026 Topps Chrome Marvel Iron Fist Meanwhile #MW-13 Rand Rises Again	assets/cards/Iron-Fist_MW-13_front.jpg	0.99	2026-08-16				Meanwhile insert of Iron Fist, subtitled Rand Rises Again.
collection	2026 Topps Chrome Marvel Myrddin Future Stars #FS-12	assets/cards/Myrddin_FS-12_front.jpg	2.25	2026-08-20				Future Stars insert from the Topps Chrome Marvel set.
collection	2026 Topps Finest Junior Caminero Worlds Finest #WF-16 Rays	assets/cards/Junior-Caminero_WF-16_front.jpg	1.43	2026-08-16				World's Finest insert of the Rays third baseman.
collection	2025 Topps Stadium Club Jackson Chourio Yours For The Taking #YK-13 Brewers	assets/cards/Jackson-Chourio_YK-13_front.jpg	0.99	2026-08-17				Yours For The Taking insert of the Brewers outfielder.
collection	2025-26 Bowman Basketball Chris Paul #146 Spurs	assets/cards/Chris-Paul_146_front.jpg	1.22	2026-08-10				Bowman Chrome card of the veteran point guard in Spurs silver and black.
collection	2026 Topps Finest Junior Caminero Rays	assets/cards/Junior-Caminero_Finest_front.jpg	1.00	2026-07-25				No isolated base sale - the comp is the Pink Refractor /250.
collection	2026 Topps Chrome Junior Caminero #130 Rays	assets/cards/Junior-Caminero_130_front.jpg	0.72	2026-08-21				Baseball Seams Refractor of the Rays third baseman.
collection	2025 Topps Stadium Club Jacob Wilson #33 RC Rookie Athletics	assets/cards/Jacob-Wilson_33_front.jpg	0.99	2026-08-20				Base rookie of the Athletics shortstop.
collection	2026 Panini Donruss Paul Skenes #70 Pirates	assets/cards/Paul-Skenes_70_front.jpg	2.00	2026-08-20				Rockets insert of the Pirates ace.
collection	2025 Topps Stadium Club Greg Maddux #71 Braves	assets/cards/Greg-Maddux_71_front.jpg	1.00	2026-08-20				Base card of the Braves Hall of Fame right-hander.
collection	2026 Topps Chrome WWE Jey Uso Scope #SCO-8	assets/cards/Jey-Uso_SCO-8_front.jpg	2.11	2026-08-13				Base Scope insert of the Bloodline member.
collection	2024 Panini Select WWE Roman Reigns #86 Concourse	assets/cards/Roman-Reigns_86_front.jpg	1.77	2026-08-19				Base Concourse.
collection	2024 Panini Select WWE Torrie Wilson #75 Concourse Legends	assets/cards/Torrie-Wilson_75_front.jpg	1.50	2026-07-25				Concourse Legends card of the WWE Hall of Famer.
collection	2024 Panini Select WWE Thea Hail #58 Concourse NXT	assets/cards/Thea-Hail_58_front.jpg	0.99	2026-08-16				Red and Blue Concourse parallel of the NXT competitor.
collection	2026 Panini Donruss Luke Keaschall Unleashed #6 Twins	assets/cards/Luke-Keaschall_6_front.jpg	1.15	2026-08-14				Unleashed insert of the Twins infielder.
collection	2026 Topps Chrome Moises Ballesteros #264 Refractor RC Rookie Cubs	assets/cards/Moises-Ballesteros_264_front.jpg	1.68	2026-08-21				Blue Refractor rookie of the Cubs catcher, numbered to 150.
collection	2026 Topps Chrome Seiya Suzuki #34 Refractor Cubs	assets/cards/Seiya-Suzuki_34_front.jpg	3.99	2026-08-19				Base refractor of the Cubs outfielder.
collection	2025 Topps Stadium Club Joey Votto #2 Reds	assets/cards/Joey-Votto_2_front.jpg	0.79	2026-08-21				Base.
collection	2025 Topps Stadium Club Chris Sale Concentration #C-5 Braves	assets/cards/Chris-Sale_C-5_front.jpg	0.49	2026-08-16				Concentration insert of the Braves left-hander.
collection	2025 Topps Stadium Club Pedro Martinez #85 Red Sox	assets/cards/Pedro-Martinez_85_front.jpg	0.99	2026-08-02				Base.
collection	2025 Topps Stadium Club Larry Walker #36 Rockies	assets/cards/Larry-Walker_36_front.jpg	1.37	2026-08-20				Pink Foil parallel of the Rockies Hall of Fame outfielder.
collection	2025 Topps Stadium Club Max Fried #121 Yankees	assets/cards/Max-Fried_121_front.jpg	1.75	2026-08-20				Base card of the Yankees left-hander.
collection	2025 Topps Stadium Club Trea Turner #132 Phillies	assets/cards/Trea-Turner_132_front.jpg	0.99	2026-08-18				Base.
collection	2025 Topps Stadium Club Thomas Saggese #157 RC Rookie Cardinals	assets/cards/Thomas-Saggese_157_front.jpg	0.84	2026-08-12				Base rookie of the Cardinals infielder.
collection	2025 Topps Stadium Club Kevin Alcantara #91 RC Rookie Cubs	assets/cards/Kevin-Alcantara_91_front.jpg	0.65	2026-08-10				Base rookie of the Cubs outfielder.
collection	2025 Topps Stadium Club Christian Walker #29 Astros	assets/cards/Christian-Walker_29_front.jpg	1.00	2026-05-14				Pink Foil parallel of the Astros first baseman.
collection	2025 Topps Stadium Club Luis Severino #49 Athletics	assets/cards/Luis-Severino_49_front.jpg	0.69	2026-06-24				Base set.
collection	2025 Topps Stadium Club Dylan Cease #117 Padres	assets/cards/Dylan-Cease_117_front.jpg	1.30	2026-06-17				Base.
collection	2023 Bowmans Best Anthony Rizzo #56 Yankees	assets/cards/Anthony-Rizzo_front.jpg	1.01	2026-08-16				Base card of the first baseman in Yankees pinstripes.
collection	2026 Panini Donruss Pie Traynor #63 Pirates	assets/cards/Pie-Traynor_63_front.jpg	1.01	2026-08-12				Base card of the Pirates Hall of Fame third baseman.
collection	1983 Topps Steve Carlton #406 All-Star Phillies	assets/cards/Steve-Carlton_406_front.jpg	1.50	2026-07-10				All-Star subset card of the Phillies Hall of Fame left-hander.
collection	2023 Topps Jermaine Palacios #56 RC Rookie Twins	assets/cards/Jermaine-Palacios_56_front.jpg	1.25	2025-12-27				Gold Foil rookie of the Twins infielder, numbered to 2023.
collection	2023 Topps Nick Pivetta #152 Red Sox	assets/cards/Nick-Pivetta_152_front.jpg	1.00	2026-07-16				Base.
collection	2023 Topps Merrill Kelly #71 Diamondbacks	assets/cards/Merrill-Kelly_71_front.jpg	0.99	2026-05-07				Gold Foil parallel of the Diamondbacks right-hander.
collection	1993 Pinnacle Matt Williams #67 Giants	assets/cards/Matt-Williams_67_front.jpg	0.11	2026-04-17				Base card of the Giants third baseman.
collection	1993 Pinnacle Bret Saberhagen #185 Mets	assets/cards/Bret-Saberhagen_185_front.jpg	1.47	2024-09-14				Base card of the Mets right-hander and 1985 Cy Young winner.
collection	1993 Pinnacle Moises Alou #92 Expos	assets/cards/Moises-Alou_92_front.jpg	0.73	2026-02-16				Base card of the Expos outfielder.
collection	1994 Score Gerald Williams #590 Rookie Prospect Yankees	assets/cards/Gerald-Williams_590_front.jpg	0.74	2025-03-25				Rookie Prospect subset card of the Yankees outfielder.
collection	1994 Score Javier Lopez #620 RC Rookie Prospect Braves	assets/cards/Javier-Lopez_620_front.jpg	0.79	2026-03-19				Rookie Prospect subset card of the Braves catcher.
collection	Score Tim Wallach Dodgers	assets/cards/Tim-Wallach_front.jpg	1.40	2026-08-12				Base Score card of the Dodgers third baseman. The set year is not readable off the card.
collection	1993 Topps Brad Pennington #797 Coming Attraction Orioles	assets/cards/Brad-Pennington_front.jpg	0.99	2026-06-19				Coming Attraction subset card of the Orioles left-hander.
collection	1993 Topps Dusty Baker Cito Gaston #514 Major League Managers Giants Blue Jays	assets/cards/Baker-Gaston_514_front.jpg	1.99	2026-08-15				Major League Managers subset pairing the Giants and Blue Jays skippers.
collection	1993 Topps Jeff Torborg Tom Kelly #509 Major League Managers Mets Twins	assets/cards/Torborg-Kelly_509_front.jpg	1.55	2024-03-27				Major League Managers subset pairing the Mets and Twins skippers.
collection	1993 Topps Rene Lachemann Mike Hargrove #505 Major League Managers Marlins Indians	assets/cards/Lachemann-Hargrove_505_front.jpg	1.39	2026-08-01				Major League Managers subset pairing the Marlins and Indians skippers.
collection	1993 Topps Tony Perez Buck Rodgers #503 Major League Managers Reds Angels	assets/cards/Perez-Rodgers_503_front.jpg	1.00	2026-08-15				Gold parallel of the Major League Managers subset, Reds and Angels.
collection	1993 Topps Garvin Alston Michael Case #661 Rockies Future Stars	assets/cards/Alston-Case_661_front.jpg	0.01	2026-07-21				Future Stars subset card pairing two Rockies prospects.
collection	1993 Topps Ramon Caraballo Jon Shave Brent Gates Quinton McCracken #451 Top Prospects Second Basemen	assets/cards/Top-Prospects_451_front.jpg	0.99	2026-08-10				Gold parallel of the Top Prospects second basemen subset, four players to a card.
sold	2026 Topps Chrome Konnor Griffin Gold Rookie Auto #RA-KG 03/50 Pirates RC	ebay:H5sAAeSwAfJqfl-E			2399.00	2026-08-20		New biggest sale on the store. Routed through eBay Authenticity Guarantee.
collection	1993 Topps Ramon Caraballo Jon Shave Brent Gates Quinton McCracken #451 Prospects Braves Rangers Athletics Rockies	assets/cards/Prospects-Second-Basemen_451_front.jpg	1.00	2026-08-22				Four-player prospect card, Jon Shave rookie. Pure early-90s junk-wax charm.
collection	2026 Panini Donruss Luke Keaschall #30 Minnesota Twins	assets/cards/Luke-Keaschall_30_front.jpg	1.00	2026-08-22				Base Donruss of the Twins second baseman who hit the ground running in 2025.
collection	2026 Panini Immaculate Collection Paul Skenes Cade Horton Trey Yesavage #TRI-PCT Triple Relic 36/49	assets/cards/Skenes-Horton-Yesavage_TRI-PCT_front.jpg	40.00	2026-08-22				Three game-used swatches on one card, numbered 36 of 49. Three of the best young arms in the game.
collection	2026 Topps Chrome WWE Drew McIntyre #SCO-4 Scope	assets/cards/Drew-McIntyre_SCO-4_front.jpg	2.50	2026-08-22				Scope insert, behind-the-scenes look at the Scottish Warrior.
collection	2025 Topps Royalty WWE Karmen Petrovic #PGS-KPE Pillars of Greatness On-Card Auto 09/25 NXT	assets/cards/Karmen-Petrovic_PGS-KPE_front.jpg	32.00	2026-08-22				On-card signature, nine of twenty-five, on the heavy Royalty stock.
collection	2026 Topps Chrome WWE Tatum Paxley #191 Wave Refractor NXT	assets/cards/Tatum-Paxley_191-wave_front.jpg	6.00	2026-08-22				Wave parallel. NXT's most watchable oddball.
collection	2026 Topps Chrome WWE Tatum Paxley #191 Cracked Ice Refractor NXT	assets/cards/Tatum-Paxley_191-ice_front.jpg	10.00	2026-08-22				Cracked Ice shatters the chrome into glass. Same card, louder finish.
collection	2026 Topps Chrome WWE Tatum Paxley #NXT-TAT On-Card Auto NXT	assets/cards/Tatum-Paxley_NXT-TAT_front.jpg	30.00	2026-08-22				On-card NXT Chrome signature, Topps certified.
collection	2026 Topps Cosmic Chrome WWE Tatum Paxley #131 Gold Refractor	assets/cards/Tatum-Paxley_131-gold_front.jpg	12.00	2026-08-22				Gold parallel from the Cosmic Chrome set, planets and all.
collection	2026 Topps Cosmic Chrome WWE Tatum Paxley #131 Magenta Cosmos Refractor	assets/cards/Tatum-Paxley_131-pink_front.jpg	8.00	2026-08-22				Magenta Cosmos parallel. The pink pops under a light.
collection	2022 Panini Prizm WWE Aoife Valkyrie #67 RC Rookie NXT UK	assets/cards/Aoife-Valkyrie_67_front.jpg	2.00	2026-08-22				Rookie card from her NXT UK run, before the Lyra Valkyria rename.
collection	2026 Topps Chrome WWE Drew McIntyre #BBA-DRE Blue Brand Chrome Auto SmackDown	assets/cards/Drew-McIntyre_BBA-DRE_front.jpg	20.00	2026-08-22				On-card blue-brand signature, Topps certified.
collection	2026 Topps Chrome WWE Drew McIntyre #SGZ-23 Signalz Case Hit	assets/cards/Drew-McIntyre_SGZ-23_front.jpg	20.00	2026-08-22				Signalz is a case-hit insert - roughly one per case.
collection	2025 Topps Resurgence DK Metcalf #CB-11 Circuit Breakers Pittsburgh Steelers	assets/cards/DK-Metcalf_CB-11_front.jpg	1.50	2026-08-22				Circuit Breakers insert, first Resurgence season in black and gold.
collection	2025 Topps Universe WWE Mankind #LGA-MAN Legends Autograph	assets/cards/Mankind_LGA-MAN_front.jpg	45.00	2026-08-22				Mick Foley signed as Mankind. Legends Autographs, on-card.
collection	2026 Topps Cosmic Chrome WWE El Grande Americano #EA-EGA Equinox Auto	assets/cards/El-Grande-Americano_EA-EGA_front.jpg	165.00	2026-08-22				The masked man himself, signed. Equinox is the short-printed autograph tier of Cosmic Chrome - the best card in this group.
collection	2025 Topps Chrome WWE x Cactus Jack Penta #FVF-1 Festival Fury	assets/cards/Penta_FVF-1_front.jpg	5.00	2026-08-22				Festival Fury from the Cactus Jack crossover, torn-paper design and all.
collection	2026 Topps Chrome Jose Reyes #75D-RE 75th Diamond Autograph 29/99 New York Mets	assets/cards/Jose-Reyes_75D-RE_front.jpg	13.00	2026-08-22				On-card signature numbered 29 of 99, Mets blue and orange.
collection	2025-26 Panini Prizm Patrick Ewing #LS-EWI Legacy Signatures Gold Auto 08/10 New York Knicks	assets/cards/Patrick-Ewing_LS-EWI_front.jpg	85.00	2026-08-22				Gold Legacy Signatures, eight of ten. A Hall of Fame autograph in single digits.
collection	2026 Topps Chrome WWE Gunther #MEA-GT Main Event Autographs	assets/cards/Gunther_MEA-GT_front.jpg	20.00	2026-08-22				The Ring General, signed. Main Event Autographs, on-card.
collection	2025 Topps Royalty WWE CM Punk #004 18/99 RAW	assets/cards/CM-Punk_004_front.jpg	13.00	2026-08-22				Royalty base, numbered 18 of 99, gold-framed on thick stock.
collection	2026 Topps Chrome WWE CM Punk #PLP-12 Platinum Punk Hell in a Cell	assets/cards/CM-Punk_PLP-12_front.jpg	5.00	2026-08-22				Platinum Punk insert marking Hell in a Cell 2012.
collection	2026 Topps Chrome WWE CM Punk #PLP-6 Platinum Punk 27/50	assets/cards/CM-Punk_PLP-6_front.jpg	12.00	2026-08-22				Platinum Punk numbered 27 of 50 - the Straight Edge Society card.
collection	2026 Topps Chrome WWE CM Punk #SCO-40 Scope	assets/cards/CM-Punk_SCO-40_front.jpg	1.25	2026-08-22				Scope insert, behind the curtain with the Best in the World.
collection	2026 Topps Chrome WWE CM Punk #PLP-14 Platinum Punk SummerSlam 2013	assets/cards/CM-Punk_PLP-14_front.jpg	5.00	2026-08-22				Platinum Punk insert, SummerSlam 2013 against Lesnar.
collection	2026 Topps Chrome WWE CM Punk #RBA-CMP Red Brand Chrome Auto Gold Refractor RAW	assets/cards/CM-Punk_RBA-CMP_front.jpg	125.00	2026-08-22				On-card Punk signature on a gold cracked-ice refractor. The autograph collectors actually chase.
collection	2025 Topps Exalted WWE CM Punk Streamline Signatures 31/50	assets/cards/CM-Punk_STREAMLINE_front.jpg	95.00	2026-08-22				Exalted Streamline Signatures, thirty-one of fifty, on-card.
collection	2026 Topps Chrome The National NSCC CM Punk #WWE-40 07/25	assets/cards/CM-Punk_WWE-40_front.jpg	45.00	2026-08-22				Seven of twenty-five, printed only for the National Sports Collectors Convention.
collection	2025 Topps Universe WWE CM Punk #SPO-13 Star Portal RAW	assets/cards/CM-Punk_SPO-13_front.jpg	1.75	2026-08-22				Star Portal insert - that entrance, rendered in deep space.
collection	2026 Topps Chrome WWE CM Punk #49 Red Cracked Ice Refractor	assets/cards/CM-Punk_49_front.jpg	8.00	2026-08-22				Red Cracked Ice parallel. Shattered-glass chrome in Punk red.
collection	2026 Topps Cosmic Chrome WWE CM Punk #PPM-4 Mercury Planetary Pursuit	assets/cards/CM-Punk_PPM-4_front.jpg	25.00	2026-08-22				Planetary Pursuit Mercury, one of the tougher pulls in Cosmic Chrome.
collection	2026 Topps Tribute Harry Ford #43 RC Rookie Washington Nationals	assets/cards/Harry-Ford_43_front.jpg	4.99	2026-08-21				Rookie card of the Nationals catcher, a three-time Futures Game pick.
collection	2025-26 Topps Chrome Update Ace Bailey #155 Refractor RC Rookie Utah Jazz	assets/cards/Ace-Bailey_155_front.jpg	7.50	2026-08-25				Refractor rookie of the Jazz forward out of Rutgers.
collection	2025-26 Topps Chrome Update Walker Kessler #100 Aqua Refractor 040/299 Utah Jazz	assets/cards/Walker-Kessler_100_front.jpg	2.50	2026-08-25				Aqua refractor of the Jazz center, numbered 40 of 299.
collection	2024-25 Topps Finest UEFA Alejandro Grimaldo Prized Footballers #PF-5 Bayer Leverkusen	assets/cards/Alejandro-Grimaldo_PF-5_front.jpg	0.99	2026-08-08				Prized Footballers insert of the Bayer Leverkusen left back, from Topps Finest UEFA Champions League.
collection	2026 Topps Tribute Paul Molitor #87 Orange 03/25 Milwaukee Brewers	assets/cards/Paul-Molitor_87_front.jpg	8.00	2026-08-21				Orange parallel of the Brewers Hall of Famer, numbered 3 of 25.
collection	2026 Topps Chrome WWE Carlee Bright #159 Purple Mini-Diamond Refractor 20/75 NXT	assets/cards/Carlee-Bright_159_front.jpg	10.00	2026-08-19				Purple mini-diamond refractor of the NXT competitor, numbered 20 of 75.
collection	2024-25 Panini Immaculate Collection Ibrahima Konate #85 42/70 France	assets/cards/Ibrahima-Konate_85_front.jpg	0.99	2026-06-09				Immaculate Collection card of the France center-back, numbered 42 of 70.
collection	2024-25 Panini Select Enrique Freeman #80 Concourse RC Rookie Indiana Pacers	assets/cards/Enrique-Freeman_80_front.jpg	1.50	2026-06-29				Concourse rookie of the Pacers forward, the Akron walk-on who cracked a pro rotation.
collection	2024-25 Panini Select Ja Morant #257 Courtside Blue Wave Prizm 20/75 Memphis Grizzlies	assets/cards/Ja-Morant_257_front.jpg	2.99	2026-07-20				Courtside blue wave prizm of the Grizzlies guard, numbered 20 of 75.
collection	2025-26 Panini Prizm Brilliance Tre Johnson III #3 Red Wave 141/299 RC Rookie Wizards	assets/cards/Tre-Johnson_3_front.jpg	2.99	2026-08-19				Brilliance red wave rookie of the Wizards guard, numbered 141 of 299.
collection	2025 Panini Certified Tyler Loop #175 RC Rookie /499 Baltimore Ravens	assets/cards/Tyler-Loop_175_front.jpg	4.35	2026-04-20				Rookie card of the Ravens kicker, from the serial-numbered base run.
collection	2025-26 Panini Prizm John Stockton #158 Gold Shimmer 09/10 Utah Jazz	assets/cards/John-Stockton_158_front.jpg	20.00	2026-08-20				Gold shimmer parallel of the Jazz Hall of Fame point guard, numbered 9 of 10.
collection	2025 Panini Certified Jim Kelly Immortals #IM-JKY Buffalo Bills	assets/cards/Jim-Kelly_IM-JKY_front.jpg	1.00	2026-07-10				Immortals insert of the Bills Hall of Fame quarterback and four-time AFC champion.
collection	2025 Panini Prizm Johnny Bench #17 White Sparkle 496/499 Cincinnati Reds	assets/cards/Johnny-Bench_17_front.jpg	3.00	2026-07-11				White sparkle parallel of the Reds Hall of Fame catcher, numbered 496 of 499.
collection	2025-26 Panini Prizm JR Smith #81 Blue Wave 039/249 Cleveland Cavaliers	assets/cards/JR-Smith_81_front.jpg	3.14	2026-08-18				Blue wave prizm of the Cavaliers guard, numbered 39 of 249.
collection	2025-26 Panini Prizm Prizm Break Jordan Smith Jr #7 Orange Pulsar 104/149 NIL Razorbacks	assets/cards/Jordan-Smith-Jr_7_front.jpg	13.00	2026-08-10				Prizm Break NIL card of the Arkansas guard. Orange pulsar, numbered 104 of 149.
collection	2026 Topps Chrome The National NSCC Dylan Harper #NBA-42 RC Rookie Refractor Spurs	assets/cards/Dylan-Harper_NBA-42_front.jpg	25.00	2026-08-24				National convention exclusive rookie refractor of the Spurs guard, the second pick of the 2025 draft.
collection	2026 Panini The National NSCC Deion Sanders #45 Silver Pack Dallas Cowboys	assets/cards/Deion-Sanders_45_front.jpg	0.99	2026-08-23				Silver pack convention exclusive of Prime Time in Cowboys silver and blue.
collection	2026 Panini The National Dia Bell Rated Prospect NIL #NIL15 Texas Longhorns	assets/cards/Dia-Bell_NIL15_front.jpg	1.99	2026-08-19				Rated Prospect NIL card of the Texas Longhorns quarterback.
collection	2026 Leaf The National Diana Taurasi #38 NSCC Promo	assets/cards/Diana-Taurasi_38_front.jpg	2.00	2026-08-21				National convention promo of the all-time WNBA scoring leader.
collection	2026 Leaf The National Dustin Poirier #45 NSCC UFC Promo	assets/cards/Dustin-Poirier_45_front.jpg	1.30	2026-08-25				National convention promo of the UFC lightweight.
collection	2026 Leaf The National Dwight Gooden #46 NSCC Promo New York Mets	assets/cards/Dwight-Gooden_46_front.jpg	1.75	2026-08-21				National convention promo of Doc Gooden in Mets pinstripes.
collection	2026 Leaf The National Dave Winfield #33 NSCC Promo San Diego Padres	assets/cards/Dave-Winfield_33_front.jpg	1.95	2026-08-21				National convention promo of the Padres Hall of Fame outfielder.
collection	2026 Panini The National Dakorien Moore NIL #NIL10 Green Oregon Ducks	assets/cards/Dakorien-Moore_NIL10_front.jpg	5.00	2026-08-15				Green parallel NIL card of the Oregon Ducks wide receiver.
collection	2026 Topps Chrome WWE The National NSCC Carmelo Hayes #WWE-21 Refractor	assets/cards/Carmelo-Hayes_WWE-21_front.jpg	2.99	2026-08-22				National convention exclusive refractor of the SmackDown superstar.
collection	2026 Topps Chrome WWE Kevin Nash #24 Diamond Plate Refractor	assets/cards/Kevin-Nash_24_front.jpg	3.00	2026-08-15				Diamond plate refractor of the WWE Hall of Famer, better known as Diesel.
collection	2026 Topps Chrome WWE Kelani Jordan #NXT-KEL On-Card Auto NXT	assets/cards/Kelani-Jordan_NXT-KEL_front.jpg	5.50	2026-08-23				On-card autograph of the NXT competitor and first NXT womens North American champion.
collection	2026 Topps Chrome WWE Angelo Dawkins #108 Sapphire Edition	assets/cards/Angelo-Dawkins_108_front.jpg	0.80	2026-08-17				Sapphire Edition card of the Street Profits tag team champion.
collection	2026 Topps Chrome WWE The National NSCC Austin Theory #WWE-50 Refractor	assets/cards/Austin-Theory_WWE-50_front.jpg	1.95	2026-08-22				National convention exclusive refractor of the two-time United States champion.
collection	2026 Topps Chrome WWE The National NSCC Charlotte Flair #WWE-27 Refractor	assets/cards/Charlotte-Flair_WWE-27_front.jpg	1.95	2026-08-22				National convention exclusive refractor of the 14-time womens champion.
collection	2026 Topps Chrome Marcus Semien #281 Refractor New York Mets	assets/cards/Marcus-Semien_281_front.jpg	1.43	2026-08-22				Refractor of the Mets second baseman.
collection	2026 Topps Chrome Brett Baty #263 Refractor New York Mets	assets/cards/Brett-Baty_263_front.jpg	0.80	2026-08-24				Refractor of the Mets third baseman.
collection	2026 Topps Chrome WWE Carmelo Hayes #70 Refractor	assets/cards/Carmelo-Hayes_70_front.jpg	2.00	2026-08-15				Refractor of the former NXT champion, now on the main roster.
